流水号,标题,英文标题,摘要,关键词,特征词,作者,作者单位,学科分类号,出处,ISSN,国内代码,人名主题,内部代码,语种,基金,国省市名,参文数,更新日期,著者文摘,期刊名,出版年,卷,期,页码
"2011278563
","以支气管哮喘为首发表现的特发性高嗜酸性粒细胞综合征1例并文献复习
","
","患者男,20岁。因反复气喘、咳嗽、咳痰4年入院。患者2004年因过敏性鼻炎在当地医院予泼尼松治疗。2005年出现气喘、咳嗽、心悸及活动后气促,伴眼睛外突,拟诊支气管哮喘(以下简称哮喘),予沙美特罗等治疗,症状反复。2007年9月在当地医院行X线检查发现肺部阴影,拟诊肺结核,经规律抗结核治疗效果欠佳。[第一段]
","
","成年人;男(雄)性;人类
","郑润辉(1);王春燕(1);谭获(1);黄振倩(1);刘丹(1);罗晓丹(1);钟南山(2)
","(1)广州医学院第一附属医院肿瘤血液中心, 510230; (2)广州呼吸疾病研究所
","R441.5;R441.8;R557.5;R562.25
","中华内科杂志;2010;49(11):969-970
","0578-1426
","11-2138/R
","
","Z66
","
","
","广东
","0
","20110425
","F
","中华内科杂志
","2010
","49
","11
","969-970
"
"2011278394
","盐酸四环素眼膏对全麻手术患者的双眼保护调查研究
","The Protective Effects of Oculentum Tetracyclini on Patients Undergoing General Anesthesia
","目的:探讨减少外科全麻患者术后的眼部症状及并发症的方法。方法:采用随机对照研究,将307例接受全麻手术(颅脑、头面部手术除外)患者分为两组。实验组146例,应用盐酸四环素眼膏保护双眼;对照组161例,由巡回护士只协助患者双眼闭合,不应用盐酸四环素眼膏保护双眼。观察两组术后眼部症状和眼部并发症发生率的发生情况。结果:实验组眼部症状(χ^2=25.47,P<0.01)和眼部并发症(χ^2=4.94,P=0.026)发生率显著低于对照组。当麻醉时间>3h时,实验组眼部症状(χ^2=27.12,P<0.01)和眼部并发症(χ^2=5.53,P=0.019)发生率显著低于对照组。结论:对外科全麻手术患者应用四环素眼膏保护双眼,能减少患者眼部症状和并发症,减少患者痛苦。随着全麻时间的延长,四环素眼膏的眼保护作用更显著。
","全身麻醉;眼睛保护;护理
","人类
","吕凛生(1);陈信芝(1);殷金梅(2);刘迅(2)
","(1)中山大学附属第三医院手术室,广东广州510630; (2)中山大学附属第三医院血液净化病区,广东广州 510630
","R322.91;*R614.2;R944.9;R978.14
","中华全科医学;2010;(12):1579-1580
","1672-1764
","11-5710/R
","
","SY4
","
","
","广东
","0
","20110425
","AA
","中华全科医学
","2010
","
","12
","1579-1580
"
"2011256079
","1例辣椒素致全身皮肤广泛烧伤躁狂症病人的护理
","
","辣椒素是一种含香草酰胺的生物碱,具有强烈的辛辣味和非常强的刺激性。作用于局部皮肤,初期有灼热感、瘙痒、皮肤潮红及热痛过敏,继之可使皮肤对各种类型的疼痛刺激变得感觉迟钝即热痛失敏。作用于黏膜可引起喷嚏、鼻充血、咳嗽、黏液分泌、眼睛流泪、支气管收缩、呼吸困难等。[第一段]
","
","人类
","胡筱峰;徐广艳;刘晓芹
","淮安市第三人民医院,江苏淮安 223001
","R322.99;R644;R749.4;R977.6
","现代医药卫生;2009;25(22):3471-3473
","1009-5519
","50-1129/R
","
","C03
","
","
","江苏
","0
","20110320
","F
","现代医药卫生
","2009
","25
","22
","3471-3473
"
"2011240811
","美国FDA批准Bepreve用于治疗过敏引起的眼睛瘙痒
","
","ISTA Pharmaceuticals公司的滴眼液Bepreve(TM)(1.5%苯磺酸贝他斯汀滴眼液)获得FDA批准用于在2岁及其以上患者中治疗过敏性结膜炎引起的眼睛瘙痒。公司预期在2009年第4季度在美国上市Bepreve(TM)。ISTA进行了多项临床研究,用于评价本品的安全性、有效性、起效时间和疗效持续时间。[第一段]
","
","儿童, 学龄前;人类
","
","
","R199;R322.91;R725.931;R758.31;RZ712
","中国新药杂志;2009;(20):1922
","1003-3734
","11-2850/R
","
","ZK1
","
","
","
","0
","20110320
","F
","中国新药杂志
","2009
","
","20
","1922
"
"2011227867
","末节指骨骨折
","
","手指是人类与外界接触最多、最精巧的器官。手指末节(distal phalanx,P3)几乎在手的任何使用中均发挥着作用,因此也是最容易受到损伤的部位。手指末节具有非常独特的解剖构造,其掌侧的指腹(digital pulp)为高度分化的感觉器官,被誉为“人的第二双眼睛”;背侧的指甲(nail)是半透明的角质化上皮,具有保护、精细捏持和美观作用。指腹的软组织缺损在我国手外科已获得了广泛的重视,但对末节指骨骨折的研究尚较为缺乏。[第一段]
","
","人类
","张世民
","同济大学附属同济医院骨科,上海 200065
","R322.9;R681.7;R683
","实用手外科杂志;2009;23(2):92-95
","1671-2722
","21-1466/R
","
","SF1
","
","
","上海
","0
","20110320
","F
","实用手外科杂志
","2009
","23
","2
","92-95
"
"2011212029
","白介素-1受体阻滞剂利洛纳塞的研究进展
","Progress in the research of the interleukin-1 blocker rilonacept
","冷吡啉相关周期性综合征(CAPS)是一种遗传性炎症型疾病,包括家族性寒冷型自身炎症性综合征(FCAS)和穆-韦二氏综合征(MWS)。该疾病的症状包括发热、寒战、皮疹、疲劳、关节痛和眼睛发红。促炎症反应细胞因子白介素-1(IL-1)为该病的致病因子,因此调节IL-1的活性成为缓解CAPS症状的重要治疗方法。利洛纳塞(IL-1受体阻滞剂)已通过美国FDA批准,用于治疗此罕见的炎症性疾病。利洛纳塞与IL-1b和IL-1a有高度的亲和性,与之结合并抑制IL-1的活性。文中对该药物作用机制、药动学、临床研究进展进行综述。
","利洛纳塞;冷吡啉相关周期性综合征;白介素-1受体阻滞剂
","人类
","时正媛(1,2);曹国颖(1);傅得兴(1);胡欣(1);陈晓辉(2);毕开顺(2)
","(1)卫生部北京医院药学部,北京100730; (2)沈阳药科大学,沈阳 110016
","R364.5;R392.11;R392.12;R442.8;*R971.1
","中国新药杂志;2009;(13):1201-1203,1210
","1003-3734
","11-2850/R
","
","ZK1
","
","
","北京
","0
","20110320
","AA
","中国新药杂志
","2009
","
","13
","1201-1203,1210
"
"2011191421
","白塞氏病并发大咯血1例的急救与护理体会
","
","白塞氏病(Behcetg Disease,BD)又称白塞氏综合征,是一种原因不明,以血管炎为病理基础的慢性进行性、反复发作性多系统的免疫性疾病。除了口腔、眼睛、生殖器、皮肤为本病的好发部位,也可出现消化、呼吸、循环、神经等系统的改变,其中并发肺部病变者较少见,[第一段]
","
","人类
","马会兰(1);陈晨(2);陈丽调(1)
","(1)第二军医大学附属长征医院,200003; (2)第二军医大学附属长海医院贵宾诊疗科
","R322.41;R441.7;R563;R751;R773.9;R781.9
","护理实践与研究;2010;7(23):148,封3
","1672-9676
","13-1352/R
","
","HL1
","
","
","上海
","0
","20110303
","F
","护理实践与研究
","2010
","7
","23
","148,封3
"
"2011183756
","多种核型并存Turner综合征1例
","
","1临床资料患者,女性,27岁,智力正常,因第二性征发育欠佳,原发闭经在我院生殖科就诊。查体:身高145cm,眼睛发育正常,上颌窄,下颌小且后缩,鲨鱼嘴,蹼颈,后发髻较低。[第一段]
","Turner综合征;核型;染色体
","成年人;女(雌)性;人类
","高峡;杨秀萍;孙志毅;赵学敏;刘艳平;李巧丽
","河北省张家口市妇幼保健院优生遗传室,河北张家口 075000
","R322.4;R323.1;R588;*R596.1;R711.51
","第三军医大学学报;2010;32(20):2250
","1000-5404
","51-1095/R
","
","D07
","
","
","河北
","0
","20110303
","F
","第三军医大学学报
","2010
","32
","20
","2250
"
"2011174198
","知道基因的“父母”可提高疾病预测
","
","据2009年12月7日《NewScientist》报道,猜测小孩的眼睛是遗传了母亲的还是父亲的,也许是没有根据的推断。但是知道了某特定基因是从父亲还是从母亲来的,可能会预知你患某种病的风险。一些遗传变异甚至是两面性的:当它来源于一个亲本时会增加风险,但当它来源于另一个亲本时则会降低风险。[第一段]
","
","
","赵自然(译)
","
","R-05;R197;R394.2
","基础医学与临床;2010;(6):667
","1001-6325
","11-2652/R
","
","J01
","
","
","
","0
","20110303
","F
","基础医学与临床
","2010
","
","6
","667
"
"2011152212
","原发性干燥综合征合并视神经炎误诊1例分析
","
","对原发性干燥综合征合并视神经炎误诊1例分析如下。1病历摘要女,45岁。以“口干、跟干、汗液分泌减少10a”为主诉于2009—05—25入院,该患于10a前无明显诱因自觉口干、眼睛于涩,汗液分泌明显减少,牙齿进行性出现龋齿,并逐渐脱落,患者未就诊于医院及采用任何方式治疗。[第一段]
","干燥综合征/并发症;视神经炎/诊断;误诊
","女(雌)性;人类;中年人
","高大松
","辽宁省盘锦市辽河油田欢喜岭医院, 124114
","R44;*R442.8;R593.22;R777.2;R781.1;R781.71
","中国误诊学杂志;2010;10(15):3660
","1009-6647
","11-4518/R
","
","Z248
","
","
","辽宁
","0
","20110303
","F
","中国误诊学杂志
","2010
","10
","15
","3660
"
